Number,Conversation,Question,Choice1,Choice2,Choice3,Answer
18-19,"M: The prevailing attitude about premarital contracting is that it spoils the whole concept of marriage, love, and trust. How do you counter that? F: First of all, most of us hear about premarital contracting when someone rich and famous gets divorced and about all the battles they are going through. I know when my husband and I decided that we wanted to have a premarital contract, my son said ""Why you guys doing that? Don't you trust each other?"" So it's not surprising that people's initial reaction is a negative one. But in fact, premarital contracting is a way that we can learn more about each other, make each other feel more comfortable about issues that are of concerns, and certainly clarify money concerns. This way, we can talk about them, decide together how we want our marriage to work, and if necessary, and only if necessary, we put it in a premarital contract, a legal document. M: Each year, there is one divorce for every two marriages. And a substantial portion of those who have divorced remarry. Is the notion of the premarital contract simply for those who are entering second marriages, or is it also something for the people getting married for the first time? W: Premarital contracting is a communication process. I think all of us, whatever age we are, whatever financial status we have, we have things to talk about. And if we avoid doing that and wait until there are problems, it's almost too late. I think that no matter what age, whether we've been married once or not, whether we have stepchildren, whether we have assets, it's important to communicate and consider a legal document.",How do people see premarital contracting in general?,It is unfeasible and unnecessary,It suggests distrust between the two partners,It is only effective for someone rich and famous,It suggests distrust between the two partners
5-546,"M: Honey, I'll be going straight to the theatre from work this evening. Could you bring my suit and tie along? W: Sure, it's the first performance of the State Symphony Orchestra in our city, so suit and tie is a must.",What do we learn from the conversation?,The speakers will dress formally for the concert.,The man will return home before going to the concert.,It is the first time the speakers are attending a concert.,The speakers will dress formally for the concert.
5-537,"M: I see on your resume that you worked as a manager of a store called ""Computer Country"". Could you tell me a little more about your responsibilities there? W: Sure. I was responsible for overseeing about 30 employees. I did all of the ordering for the store, and I kept track of the inventory. M: What was the most difficult part of your job? W: Probably handling angry customers. We didn't have them very often, but when we did, I needed to make sure they were well taken care of. After all, the customer is always right. M: That's how we feel here too. How long did you work there? W: I was there for three and a half years. I left the company last month. M: And why did you leave? W: My husband has been transferred to Boston. And I understand your company has an opening there too. M: Yes, that's right. We do. But the position won't start until early next month. Would that be a problem for you? W: No, not at all. My husband's new job doesn't begin for a few weeks. So we thought we would spend some time driving to Boston and stop to see my parents. M: That sounds nice. So tell me, why are you interested in this particular position? W: I know that your company has a great reputation, and a wonderful product. I've thought many times that I would like to be a part of it. When I heard about the opening in Boston, I jumped to the opportunity. M: Well I'm glad you did.",What was the woman's previous job?,A director of a sales department.,A manager at a computer store.,A sales clerk at a shopping center.,A manager at a computer store.
3-125,"W: I like that picture you put up on the wall yesterday. M: Oh, thank you. It's a photograph that I took on my vacation last year. W: You took it yourself? I didn't know you were a photographer. M: Oh, yes, I've been taking pictures for years. W: It sounds interesting. Do you have any more of your pictures here? And may I see them? M: Yes, certainly. Some of them are faces, just faces of people who I see when I'm walking around. W: Do you let them know that you're taking pictures of them? M: I try not to. I don't like pictures of people who purpose for the camera. I like people who are going about their business without knowing the camera is there. W: I suppose you need a lot of equipment. How many cameras do you have? M: Well, I have a dozen of them, but I use two of them more than the others.",What did the man put up on the wall yesterday?,The picture he drew on his vacation.,The picture he took.,The picture of him taken last year.,The picture he took.
14-146,"W: Have you heard the news? M: No. What news? W: Julie has won first prize in the diving competition. M: Oh, that's great.",In what competition did Julie win first prize?,Diving competition.,Dancing competition.,Driving competition.,Diving competition.
5-224,M: Why are you so sure that Anne didn't commit the crime? W: She couldn't have committed that crime because I was with her. And we were out of town on that day.,Where was the crime most probably committed?,In town.,Out of town.,In the man's house.,In town.
5-515,"M: I'm getting worried about Jenny's school work. All she talks about these days is volleyball games and all she does is practice, training and things like that. W: Her grades on the coming exams will fall for sure. It's high time we talk(ed) some sense to her.",What are the speakers probably going to do?,Urge Jenny to spend more time on study.,Help Jenny to prepare for the coming exams.,Act towards Jenny in a more sensible way.,Urge Jenny to spend more time on study.
3-182,W: What's the matter with you today? M: I'm not sure. I think I'm coming down with a cold.,What is the man's problem?,He isn't feeling well.,He is caught in bad weather.,He has to change his travel plan for cold,He isn't feeling well.
21-8,M: The typewriter costs 900 Yuan but I have only 700 Yuan. W: I have 400 Yuan. I Can lend you.,How much does the man have to borrow?,400 Yuan.,700 Yuan.,200 Yuan.,200 Yuan.
4-785,"M: So. What's your uncle like? W: Oh, very friendly and open-minded. Don't worry. I'm sure he'll let you give a performance there. The good thing is that a lot of famous people go there. So do reporters and photographers. M: Yeah, but what if he doesn't like our music? W: He'll like it. He hasn't had a live band for a while, so I think he'd like one for a change.",What does the woman's uncle do?,He plays music.,He has a restaurant.,He is a news reporter.,He has a restaurant.
5-43,"W: You've got your apartment furnished, haven't you? M: I've bought some used furniture from Sunday market. It was a real bargain.",What does the man mean?,The furnished apartment was inexpensive.,The apartment was provided with some old furniture.,The furniture he bought was very cheap.,The furniture he bought was very cheap.
20-81,"Woman: Dr. Brown's Clinic. Can I help you? Man: Yes. Can I have an appointment to see the doctor, please? Woman: Well, he's free at a quarter past eleven today or tomorrow at a quarter past ten or five to two. Man: I'll come tomorrow afternoon.",What time is the appointment?,10:15.,11:15.,1:55.,1:55.
7-347,"M: Hello, 6632278. W: Hi, Jack. It's me, Ann. I wasn't at school today. Have we got any homework to do for tomorrow? M: Let me see. Well, we've got to do the math problems on Page 40 in our textbook. W: All right. I've got it. M: Then, we have to go on with our reading for English. The history teacher wants us to read the chapter on the History of London for tomorrow, and write down the most important dates and events in that chapter. W: Anything else? Ah...ah, music? M: No, we haven't any music homework, but the science teacher is giving us a test on Friday, so we have to study for that. W: Oh no. I'm so bad at science. I hate it. Thanks, Jack. M: Don't mention it. See you tomorrow.",What test are the speakers going to take on Firday?,Science,History,Music,Science
